STID,MDStatus,SCHID,CLASSROOM,TREAT,AGE,SEX,FRL,ELL,RACE,SPED,prOOOPos,poOOOPos,prCR,poCR,prLR,poLR,prBF,poBF,pdROBOC,prVSP,poVSP,pdVSPt1
12609,1,10,106,2,7.72073921971253,1,1,1,4,0,5,17,15,18,3,12,7,39,8,1,10,2
12610,1,10,106,4,7.08555783709788,1,0,0,3,0,12,11,6,11,3,7,11,26,8,3,20,10
12618,1,10,106,2,7.45790554414784,1,0,0,1,0,9,10,1,15,1,13,10,46,8,1,5,6
12665,1,13,118,4,7.43052703627652,1,0,1,4,1,6,14,9,13,0,3,2,33,3,1,15,5
12680,1,13,119,3,7.79192334017796,1,1,1,4,0,11,18,5,8,0,5,14,45,4,0,7,4
12702,1,13,120,2,7.71526351813826,2,1,0,1,0,2,7,6,17,1,11,10,24,3,3,1,3
12706,1,13,121,2,7.06639288158795,2,0,1,4,0,6,12,15,17,0,7,37,71,8,1,10,3
12717,1,13,121,3,7.58384668035592,1,1,0,1,0,12,12,12,15,5,8,12,35,7,1,4,1
12731,1,13,122,4,7.65229295003422,2,0,0,1,0,15,14,16,14,6,8,4,32,6,4,16,8
12733,1,13,122,1,7.45790554414784,1,1,0,3,0,0,12,13,9,5,6,27,35,5,0,1,0
12735,1,13,122,2,7.0362765229295,1,1,1,4,0,11,18,15,21,5,12,18,21,6,1,2,2
12736,1,13,122,4,7.564681724846,1,1,1,4,0,9,16,15,15,2,8,31,44,5,5,21,12
12743,1,13,122,3,7.12388774811773,1,1,1,4,0,13,13,17,14,2,3,20,49,6,3,18,5
12750,1,17,124,2,7.88501026694045,2,0,0,5,0,6,16,8,12,0,1,36,41,7,1,7,2
12754,1,17,124,3,7.34017796030116,1,0,0,1,0,8,8,16,12,6,6,19,31,6,5,21,6
12787,1,17,126,1,7.56194387405886,1,0,0,3,0,6,6,5,9,5,3,10,19,4,2,2,1
12794,1,17,126,4,7.46611909650924,1,0,0,3,0,12,20,13,17,8,11,10,47,8,4,28,8
12826,1,14,101,4,7.81656399726215,1,1,1,4,0,10,13,8,14,1,3,10,26,5,2,9,2
12833,1,14,101,2,7.68240930869268,1,1,1,4,0,8,21,14,16,6,2,17,34,3,0,0,2
12837,1,14,101,1,7.46611909650924,2,1,1,4,0,29,19,20,20,6,12,17,21,9,2,5,1
12841,1,14,101,2,7.45242984257358,2,1,0,1,0,13,20,14,18,6,12,22,60,8,5,9,4
